DateTime,month,TOU_period,TOU_price,lake_ontario_outflow,upstream_level,downstream_level,hydraulic_head,power_MW,energy_kWh,revenue_actual,optimized_flow,optimized_upstream_level,optimized_downstream_level,optimized_head,optimized_power_MW,optimized_energy_kWh,optimized_revenue,flow_diff,power_diff_MW,energy_diff_kWh,revenue_diff,revenue_improvement_pct,feasible
2024-05-06 06:00:00,5,Off-Peak,0.098,285000.0,73.31,46.91,26.40000000000001,73662.81912000001,73662819.12000002,7218956.273760002,252875.73269413944,73.10426786460246,46.81739240053385,26.29523513297569,65100.415649732946,65100415.64973295,6379840.733673829,-32124.267305860558,-8562.403470267069,-8562403.470267072,-839115.5400861735,-11.623779231580233,True
2024-05-06 07:00:00,5,Mid-Peak,0.157,285000.0,73.31,46.91,26.40000000000001,73662.81912000001,73662819.12000002,11565062.601840002,301894.15090686164,73.26009344741057,46.944759910933904,26.29523513297569,77719.73410367256,77719734.10367255,12201998.254276592,16894.150906861643,4056.914983672541,4056914.9836725295,636935.6524365898,5.50741205962217,True
2024-05-06 08:00:00,5,Mid-Peak,0.157,285000.0,73.32,46.902,26.417999999999992,73713.04376939998,73713043.76939999,11572947.871795798,301894.15090686164,73.26009344741057,46.944759910933904,26.29523513297569,77719.73410367256,77719734.10367255,12201998.254276592,16894.150906861643,4006.690334272571,4006690.3342725635,629050.3824807946,5.435524202211615,True
2024-05-06 09:00:00,5,Mid-Peak,0.157,285000.0,73.32,46.899,26.420999999999992,73721.41454429997,73721414.54429998,11574262.083455097,301894.15090686164,73.26009344741057,46.944759910933904,26.29523513297569,77719.73410367256,77719734.10367255,12201998.254276592,16894.150906861643,3998.319559372583,3998319.559372574,627736.1708214954,5.423552415655222,True
2024-05-06 10:00:00,5,Mid-Peak,0.157,285000.0,73.33,46.893,26.437,73766.0586771,73766058.67709999,11581271.212304698,301894.15090686164,73.26009344741057,46.944759910933904,26.29523513297569,77719.73410367256,77719734.10367255,12201998.254276592,16894.150906861643,3953.6754265725613,3953675.4265725613,620727.041971894,5.35974877535372,True
2024-05-06 11:00:00,5,On-Peak,0.203,285000.0,73.34,46.896,26.444000000000003,73785.59048520001,73785590.48520002,14978474.868495604,301894.15090686164,73.26009344741057,46.944759910933904,26.29523513297569,77719.73410367256,77719734.10367255,15777106.023045532,16894.150906861643,3934.143618472546,3934143.6184725314,798631.1545499284,5.331858961353257,True
2024-05-06 12:00:00,5,On-Peak,0.203,285000.0,73.34,46.892,26.448000000000008,73796.75151840002,73796751.51840003,14980740.558235208,301894.15090686164,73.26009344741057,46.944759910933904,26.29523513297569,77719.73410367256,77719734.10367255,15777106.023045532,16894.150906861643,3922.9825852725335,3922982.585272521,796365.4648103248,5.315928553161861,True
2024-05-06 13:00:00,5,On-Peak,0.203,285000.0,73.34,46.887,26.453000000000003,73810.70280990002,73810702.80990002,14983572.670409704,301894.15090686164,73.26009344741057,46.944759910933904,26.29523513297569,77719.73410367256,77719734.10367255,15777106.023045532,16894.150906861643,3909.0312937725394,3909031.2937725335,793533.3526358288,5.296022317847715,True
2024-05-06 14:00:00,5,On-Peak,0.203,285000.0,73.34,46.886,26.454000000000008,73813.49306820003,73813493.06820002,14984139.092844604,301894.15090686164,73.26009344741057,46.944759910933904,26.29523513297569,77719.73410367256,77719734.10367255,15777106.023045532,16894.150906861643,3906.241035472529,3906241.035472527,792966.9302009288,5.292041973766751,True
2024-05-06 15:00:00,5,On-Peak,0.203,285000.0,73.35,46.884,26.466,73846.97616779999,73846976.1678,14990936.1620634,301894.15090686164,73.26009344741057,46.944759910933904,26.29523513297569,77719.73410367256,77719734.10367255,15777106.023045532,16894.150906861643,3872.7579358725634,3872757.935872555,786169.8609821331,5.244301306356322,True
